"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 13:33:31 GMT 2024","Tue Jan 09 13:33:34 GMT 2024","2418","tests","test_contact_form","TestContactForm","","","test_contact_form","Test to verify the contact us form functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:46 GMT 2024","Tue Jan 09 13:33:47 GMT 2024","567","tests","test_page_navigation","TestPageNavigation","","","test_test_cases_page","Test to verify the test cases page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:48 GMT 2024","Tue Jan 09 13:33:49 GMT 2024","840","tests","test_products","TestProducts","","","test_test_products_and_details","Test to verify all products and product detail page

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:56 GMT 2024","Tue Jan 09 13:33:59 GMT 2024","2093","tests","test_register","TestRegister","","","test_register_existing_email","Test to verify the new user registration with existing email functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:50 GMT 2024","Tue Jan 09 13:33:51 GMT 2024","846","tests","test_products","TestProducts","","","test_test_products_search","Test to verify the products search functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:42 GMT 2024","Tue Jan 09 13:33:45 GMT 2024","2981","tests","test_login","TestLogin","","","test_logout","Test to verify the user logout after successful login functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:35 GMT 2024","Tue Jan 09 13:33:39 GMT 2024","4640","tests","test_login","TestLogin","","","test_valid_login","Test to verify the user login with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:59 GMT 2024","Tue Jan 09 13:34:02 GMT 2024","2205","tests","test_subscription","TestContactForm","","","test_subscription","Test to verify the subscription functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:52 GMT 2024","Tue Jan 09 13:33:55 GMT 2024","3553","tests","test_register","TestRegister","","","test_valid_registration","Test to verify the new user registration with valid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Jan 09 13:33:41 GMT 2024","Tue Jan 09 13:33:41 GMT 2024","581","tests","test_login","TestLogin","","","test_invalid_login","Test to verify the user login with invalid credentials functionality

        :param test_setup: setting up the browser and page objects
        :return: None
        "
